"estados","cidades"
"Minas Gerais","Juvenília"
"Minas Gerais","Entre Rios de Minas"
"Minas Gerais","Campestre"
"Minas Gerais","Arapuá"
"Minas Gerais","Antônio Dias"
"Minas Gerais","São Sebastião do Oeste"
"Minas Gerais","Centralina"
"Minas Gerais","Catas Altas da Noruega"
"Minas Gerais","Virgínia"
"Minas Gerais","Capitão Andrade"
"Minas Gerais","Munhoz"
"Minas Gerais","Capitólio"
"Minas Gerais","São Pedro dos Ferros"
"Minas Gerais","Cabeceira Grande"
"Minas Gerais","Acaiaca"
"Minas Gerais","Pitangui"
"Minas Gerais","São Lourenço"
"Minas Gerais","Janaúba"
"Minas Gerais","Vermelho Novo"
"Minas Gerais","Crisólita"
"Minas Gerais","Cristina"
"Minas Gerais","Nazareno"
"Minas Gerais","Iapu"
"Minas Gerais","Jequitibá"
"Minas Gerais","Nova Módica"
"Minas Gerais","Itamarandiba"
"Minas Gerais","Curvelo"
"Minas Gerais","Itacarambi"
"Minas Gerais","São José da Varginha"
"Minas Gerais","Rio Vermelho"
"Minas Gerais","Santana de Cataguases"
"Minas Gerais","Romaria"
"Minas Gerais","Bom Despacho"
"Minas Gerais","Santana do Jacaré"
"Minas Gerais","Japaraíba"
"Minas Gerais","Naque"
"Minas Gerais","Cachoeira Dourada"
"Minas Gerais","Bom Jesus do Galho"
"Minas Gerais","Monte Santo de Minas"
"Minas Gerais","Água Boa"
"Minas Gerais","Piranguinho"
"Minas Gerais","Poços de Caldas"
"Minas Gerais","Catuji"
"Minas Gerais","Conceição da Barra de Minas"
"Minas Gerais","Gonzaga"
"Minas Gerais","Ibiá"
"Minas Gerais","Cristália"
"Minas Gerais","Nanuque"
"Minas Gerais","Frutal"
"Minas Gerais","Ibitiúra de Minas"
"Minas Gerais","Santa Maria do Suaçuí"
"Minas Gerais","Buenópolis"
"Minas Gerais","Rosário da Limeira"
"Minas Gerais","Cachoeira da Prata"
"Minas Gerais","Capetinga"
"Minas Gerais","São Romão"
"Minas Gerais","Mathias Lobato"
"Minas Gerais","Veríssimo"
"Minas Gerais","São José da Safira"
"Minas Gerais","Jequitaí"
"Minas Gerais","Nova Lima"
"Minas Gerais","Cruzília"
"Minas Gerais","Fronteira dos Vales"
"Minas Gerais","Cristiano Otoni"
"Minas Gerais","Natércia"
"Minas Gerais","Santana do Manhuaçu"
"Minas Gerais","Santana de Pirapama"
"Minas Gerais","Rubelita"
"Minas Gerais","Ritápolis"
"Minas Gerais","Açucena"
"Minas Gerais","Abadia dos Dourados"
"Minas Gerais","Pocrane"
"Minas Gerais","Itaguara"
"Minas Gerais","Jaguaraçu"
"Minas Gerais","São José do Mantimento"
"Minas Gerais","Itamarati de Minas"
"Minas Gerais","Ibertioga"
"Minas Gerais","Guiricema"
"Minas Gerais","São Pedro do Suaçuí"
"Minas Gerais","Bocaiúva"
"Minas Gerais","Muriaé"
"Minas Gerais","Bom Jesus do Amparo"
"Minas Gerais","Cachoeira de Minas"
"Minas Gerais","Monte Formoso"
"Minas Gerais","Caxambu"
"Minas Gerais","Piraúba"
"Minas Gerais","São Sebastião do Paraíso"
"Minas Gerais","Chácara"
"Minas Gerais","Poço Fundo"
"Minas Gerais","Cabo Verde"
"Minas Gerais","Bueno Brandão"
"Minas Gerais","São Roque de Minas"
"Minas Gerais","Catas Altas"
"Minas Gerais","Funilândia"
"Minas Gerais","Gouveia"
"Minas Gerais","Ibiaí"
"Minas Gerais","Jaíba"
"Minas Gerais","Cristais"
"Minas Gerais","Nacip Raydan"
"Minas Gerais","Vespasiano"
"Minas Gerais","Virgem da Lapa"
"Minas Gerais","Santana da Vargem"
"Minas Gerais","Cataguases"
"Minas Gerais","Confins"
"Minas Gerais","Virginópolis"
"Minas Gerais","Januária"
"Minas Gerais","Água Comprida"
"Minas Gerais","Capelinha"
"Minas Gerais","Montes Claros"
"Minas Gerais","Sarzedo"
"Minas Gerais","Capitão Enéas"
"Minas Gerais","Passa Tempo"
"Minas Gerais","Cipotânea"
"Minas Gerais","Matipó"
"Minas Gerais","Rio Piracicaba"
"Minas Gerais","Rio Manso"
"Minas Gerais","Periquito"
"Minas Gerais","Entre Folhas"
"Minas Gerais","Serranos"
"Minas Gerais","Silvianópolis"
"Minas Gerais","Joaquim Felício"
"Minas Gerais","Santa Bárbara do Monte Verde"
"Minas Gerais","Congonhas do Norte"
"Minas Gerais","Consolação"
"Minas Gerais","Pequeri"
"Minas Gerais","Argirita"
"Minas Gerais","Ipiaçu"
"Minas Gerais","Araxá"
"Minas Gerais","Santo Hipólito"
"Minas Gerais","Santo Antônio do Itambé"
"Minas Gerais","Turvolândia"
"Minas Gerais","Luz"
"Minas Gerais","Ponte Nova"
"Minas Gerais","Cana Verde"
"Minas Gerais","Eugenópolis"
"Minas Gerais","Araguari"
"Minas Gerais","Pouso Alegre"
"Minas Gerais","São João do Manteninha"
"Minas Gerais","Três Pontas"
"Minas Gerais","Araporã"
"Minas Gerais","Antônio Prado de Minas"
"Minas Gerais","Chapada Gaúcha"
"Minas Gerais","Araújos"
"Minas Gerais","Orizânia"
"Minas Gerais","Campos Altos"
"Minas Gerais","Lagoa Grande"
"Minas Gerais","Perdões"
"Minas Gerais","Prados"
"Minas Gerais","Engenheiro Navarro"
"Minas Gerais","Visconde do Rio Branco"
"Minas Gerais","Itabirinha"
"Minas Gerais","Simonésia"
"Minas Gerais","Lavras"
"Minas Gerais","Chapada do Norte"
"Minas Gerais","Espinosa"
"Minas Gerais","Pará de Minas"
"Minas Gerais","Passabém"
"Minas Gerais","Coimbra"
"Minas Gerais","Martinho Campos"
"Minas Gerais","Juramento"
"Minas Gerais","Elói Mendes"
"Minas Gerais","Dores do Indaiá"
"Minas Gerais","Aricanduva"
"Minas Gerais","Joaíma"
"Minas Gerais","Itapecerica"
"Minas Gerais","Itanhandu"
"Minas Gerais","Guaranésia"
"Minas Gerais","Ituiutaba"
"Minas Gerais","Salinas"
"Minas Gerais","Santa Cruz do Escalvado"
"Minas Gerais","Belo Horizonte"
"Minas Gerais","Piedade dos Gerais"
"Minas Gerais","Miravânia"
"Minas Gerais","Cuparaque"
"Minas Gerais","São José da Lapa"
"Minas Gerais","Formiga"
"Minas Gerais","Sardoá"
"Minas Gerais","Frei Inocêncio"
"Minas Gerais","São João do Manhuaçu"
"Minas Gerais","São Tomás de Aquino"
"Minas Gerais","Carmésia"
"Minas Gerais","Verdelândia"
"Minas Gerais","Águas Vermelhas"
"Minas Gerais","Caraí"
"Minas Gerais","Santa Vitória"
"Minas Gerais","Onça de Pitangui"
"Minas Gerais","Alfenas"
"Minas Gerais","Santa Helena de Minas"
"Minas Gerais","São Gotardo"
"Minas Gerais","Itaú de Minas"
"Minas Gerais","São João del Rei"
"Minas Gerais","Divinésia"
"Minas Gerais","Casa Grande"
"Minas Gerais","Goianá"
"Minas Gerais","Berizal"
"Minas Gerais","Santa Rita de Ibitipoca"
"Minas Gerais","Belo Vale"
"Minas Gerais","Miraí"
"Minas Gerais","Ponto dos Volantes"
"Minas Gerais","Monsenhor Paulo"
"Minas Gerais","Bias Fortes"
"Minas Gerais","Olaria"
"Minas Gerais","Desterro do Melo"
"Minas Gerais","Urucânia"
"Minas Gerais","Uberaba"
"Minas Gerais","Frei Lagonegro"
"Minas Gerais","Setubinha"
"Minas Gerais","Guimarânia"
"Minas Gerais","São João do Paraíso"
"Minas Gerais","Caratinga"
"Minas Gerais","Jacuí"
"Minas Gerais","Bonfinópolis de Minas"
"Minas Gerais","Brasília de Minas"
"Minas Gerais","Piranga"
"Minas Gerais","Monte Alegre de Minas"
"Minas Gerais","Santa Fé de Minas"
"Minas Gerais","Itatiaiuçu"
"Minas Gerais","Carmo do Paranaíba"
"Minas Gerais","Francisco Badaró"
"Minas Gerais","Mato Verde"
"Minas Gerais","Minas Novas"
"Minas Gerais","São Gonçalo do Rio Abaixo"
"Minas Gerais","Faria Lemos"
"Minas Gerais","Presidente Juscelino"
"Minas Gerais","Patos de Minas"
"Minas Gerais","Angelândia"
"Minas Gerais","Cambuí"
"Minas Gerais","Paulistas"
"Minas Gerais","Barão de Cocais"
"Minas Gerais","Baldim"
"Minas Gerais","Coronel Fabriciano"
"Minas Gerais","Cordislândia"
"Minas Gerais","Serranópolis de Minas"
"Minas Gerais","Recreio"
"Minas Gerais","Fruta de Leite"
"Minas Gerais","Igarapé"
"Minas Gerais","Sericita"
"Minas Gerais","Taquaraçu de Minas"
"Minas Gerais","São Francisco de Sales"
"Minas Gerais","Lagamar"
"Minas Gerais","Veredinha"
"Minas Gerais","Indianópolis"
"Minas Gerais","Ribeirão Vermelho"
"Minas Gerais","São Gonçalo do Abaeté"
"Minas Gerais","Lagoa Formosa"
"Minas Gerais","Manhumirim"
"Minas Gerais","Maria da Fé"
"Minas Gerais","Alvorada de Minas"
"Minas Gerais","Resplendor"
"Minas Gerais","Tapira"
"Minas Gerais","Iguatama"
"Minas Gerais","Barbacena"
"Minas Gerais","Conceição das Pedras"
"Minas Gerais","Andrelândia"
"Minas Gerais","Queluzito"
"Minas Gerais","Conceição do Pará"
"Minas Gerais","Coronel Pacheco"
"Minas Gerais","Timóteo"
"Minas Gerais","Ponto Chique"
"Minas Gerais","Manga"
"Minas Gerais","Felixlândia"
"Minas Gerais","Medina"
"Minas Gerais","Peçanha"
"Minas Gerais","Camacho"
"Minas Gerais","Paiva"
"Minas Gerais","Caeté"
"Minas Gerais","Ouro Verde de Minas"
"Minas Gerais","Extrema"
"Minas Gerais","Divinópolis"
"Minas Gerais","Dom Silvério"
"Minas Gerais","Curral de Dentro"
"Minas Gerais","Serrania"
"Minas Gerais","Reduto"
"Minas Gerais","Limeira do Oeste"
"Minas Gerais","Itaverava"
"Minas Gerais","Varzelândia"
"Minas Gerais","Santa Bárbara do Leste"
"Minas Gerais","Botelhos"
"Minas Gerais","Piedade de Ponte Nova"
"Minas Gerais","Santa Luzia"
"Minas Gerais","Careaçu"
"Minas Gerais","Carandaí"
"Minas Gerais","Alpercata"
"Minas Gerais","Nova Porteirinha"
"Minas Gerais","Albertina"
"Minas Gerais","Oratórios"
"Minas Gerais","Diogo de Vasconcelos"
"Minas Gerais","Varginha"
"Minas Gerais","Umburatiba"
"Minas Gerais","Mirabela"
"Minas Gerais","Moema"
"Minas Gerais","Oliveira"
"Minas Gerais","Santa Rita do Sapucaí"
"Minas Gerais","Santana do Riacho"
"Minas Gerais","Jaboticatubas"
"Minas Gerais","Nova Ponte"
"Minas Gerais","Carmópolis de Minas"
"Minas Gerais","Guaxupé"
"Minas Gerais","Francisco Sá"
"Minas Gerais","São João Nepomuceno"
"Minas Gerais","Fortaleza de Minas"
"Minas Gerais","Carmo de Minas"
"Minas Gerais","Delfim Moreira"
"Minas Gerais","Aiuruoca"
"Minas Gerais","Guapé"
"Minas Gerais","Descoberto"
"Minas Gerais","Carvalhópolis"
"Minas Gerais","Senador Modestino Gonçalves"
"Minas Gerais","Luisburgo"
"Minas Gerais","Guarará"
"Minas Gerais","Itaobim"
"Minas Gerais","Iturama"
"Minas Gerais","Itinga"
"Minas Gerais","Santa Rita de Caldas"
"Minas Gerais","Santa Bárbara"
"Minas Gerais","Nova Serrana"
"Minas Gerais","Pescador"
"Minas Gerais","Bertópolis"
"Minas Gerais","Olhos-d'Água"
"Minas Gerais","Franciscópolis"
"Minas Gerais","Carneirinho"
"Minas Gerais","São João da Mata"
"Minas Gerais","Senador Firmino"
"Minas Gerais","São Vicente de Minas"
"Minas Gerais","Varjão de Minas"
"Minas Gerais","Braúnas"
"Minas Gerais","Bela Vista de Minas"
"Minas Gerais","Bom Sucesso"
"Minas Gerais","Piracema"
"Minas Gerais","Bonito de Minas"
"Minas Gerais","São Gonçalo do Rio Preto"
"Minas Gerais","Madre de Deus de Minas"
"Minas Gerais","Imbé de Minas"
"Minas Gerais","Maravilhas"
"Minas Gerais","Serra dos Aimorés"
"Minas Gerais","Jampruca"
"Minas Gerais","Conceição de Ipanema"
"Minas Gerais","Pedra do Anta"
"Minas Gerais","Alto Caparaó"
"Minas Gerais","Matutina"
"Minas Gerais","Cajuri"
"Minas Gerais","Paineiras"
"Minas Gerais","Mercês"
"Minas Gerais","Alvarenga"
"Minas Gerais","Prudente de Morais"
"Minas Gerais","Córrego Danta"
"Minas Gerais","Fervedouro"
"Minas Gerais","Rio Casca"
"Minas Gerais","Dom Cavati"
"Minas Gerais","Inhapim"
"Minas Gerais","Teixeiras"
"Minas Gerais","Tiros"
"Minas Gerais","Patrocínio do Muriaé"
"Minas Gerais","Presidente Olegário"
"Minas Gerais","Alterosa"
"Minas Gerais","Pratinha"
"Minas Gerais","Andradas"
"Minas Gerais","Padre Carvalho"
"Minas Gerais","Ouro Fino"
"Minas Gerais","Divino das Laranjeiras"
"Minas Gerais","Divisa Alegre"
"Minas Gerais","São Francisco"
"Minas Gerais","Lagoa dos Patos"
"Minas Gerais","Ilicínea"
"Minas Gerais","Dona Euzébia"
"Minas Gerais","Nova Belém"
"Minas Gerais","Riacho dos Machados"
"Minas Gerais","São Geraldo"
"Minas Gerais","Lajinha"
"Minas Gerais","Martins Soares"
"Minas Gerais","Conceição dos Ouros"
"Minas Gerais","Comercinho"
"Minas Gerais","Coroaci"
"Minas Gerais","Bandeira"
"Minas Gerais","Campanário"
"Minas Gerais","Ferros"
"Minas Gerais","Serra Azul de Minas"
"Minas Gerais","Senhora do Porto"
"Minas Gerais","Lamim"
"Minas Gerais","Boa Esperança"
"Minas Gerais","Cássia"
"Minas Gerais","Bom Repouso"
"Minas Gerais","Santana do Paraíso"
"Minas Gerais","Central de Minas"
"Minas Gerais","Águas Formosas"
"Minas Gerais","Buritis"
"Minas Gerais","Jequitinhonha"
"Minas Gerais","Gonçalves"
"Minas Gerais","Ibirité"
"Minas Gerais","Ibiracatu"
"Minas Gerais","Nepomuceno"
"Minas Gerais","Alfredo Vasconcelos"
"Minas Gerais","Crucilândia"
"Minas Gerais","Capim Branco"
"Minas Gerais","São Sebastião do Rio Verde"
"Minas Gerais","Morada Nova de Minas"
"Minas Gerais","Monte Carmelo"
"Minas Gerais","Santana do Garambéu"
"Minas Gerais","Santa Maria do Salto"
"Minas Gerais","Córrego Novo"
"Minas Gerais","Mutum"
"Minas Gerais","Vazante"
"Minas Gerais","São Miguel do Anta"
"Minas Gerais","Vieiras"
"Minas Gerais","Itambé do Mato Dentro"
"Minas Gerais","Jenipapo de Minas"
"Minas Gerais","Itacambira"
"Minas Gerais","São José do Goiabal"
"Minas Gerais","Sacramento"
"Minas Gerais","Morro do Pilar"
"Minas Gerais","Caetanópolis"
"Minas Gerais","Abre Campo"
"Minas Gerais","Itajubá"
"Minas Gerais","Pirapetinga"
"Minas Gerais","São Sebastião do Maranhão"
"Minas Gerais","Piumhi"
"Minas Gerais","Caputira"
"Minas Gerais","Caparaó"
"Minas Gerais","Sabará"
"Minas Gerais","Rodeiro"
"Minas Gerais","Sem-Peixe"
"Minas Gerais","Fronteira"
"Minas Gerais","São José do Alegre"
"Minas Gerais","Grão Mogol"
"Minas Gerais","Jeceaba"
"Minas Gerais","Heliodora"
"Minas Gerais","Ninheira"
"Minas Gerais","Bom Jardim de Minas"
"Minas Gerais","Marilac"
"Minas Gerais","Pedras de Maria da Cruz"
"Minas Gerais","Soledade de Minas"
"Minas Gerais","Wenceslau Braz"
"Minas Gerais","Vargem Alegre"
"Minas Gerais","Lontra"
"Minas Gerais","Juatuba"
"Minas Gerais","Tocos do Moji"
"Minas Gerais","Santo Antônio do Aventureiro"
"Minas Gerais","São Joaquim de Bicas"
"Minas Gerais","São Bento Abade"
"Minas Gerais","Doresópolis"
"Minas Gerais","Dores de Campos"
"Minas Gerais","Claro dos Poções"
"Minas Gerais","Mateus Leme"
"Minas Gerais","Mário Campos"
"Minas Gerais","Rio Preto"
"Minas Gerais","Canaã"
"Minas Gerais","Rio do Prado"
"Minas Gerais","Tupaciguara"
"Minas Gerais","Ipanema"
"Minas Gerais","Tocantins"
"Minas Gerais","Santo Antônio do Retiro"
"Minas Gerais","Laranjal"
"Minas Gerais","Leopoldina"
"Minas Gerais","Patis"
"Minas Gerais","Pratápolis"
"Minas Gerais","Estiva"
"Minas Gerais","Esmeraldas"
"Minas Gerais","Pedro Leopoldo"
"Minas Gerais","Campina Verde"
"Minas Gerais","Paraisópolis"
"Minas Gerais","Astolfo Dutra"
"Minas Gerais","Iraí de Minas"
"Minas Gerais","Arcos"
"Minas Gerais","Conselheiro Lafaiete"
"Minas Gerais","Coqueiral"
"Minas Gerais","Perdigão"
"Minas Gerais","Rio Paranaíba"
"Minas Gerais","Campo do Meio"
"Minas Gerais","Pedralva"
"Minas Gerais","Mata Verde"
"Minas Gerais","Estrela do Indaiá"
"Minas Gerais","Senador Amaral"
"Minas Gerais","Lima Duarte"
"Minas Gerais","Nova União"
"Minas Gerais","Urucuia"
"Minas Gerais","Tombos"
"Minas Gerais","Sete Lagoas"
"Minas Gerais","Inhaúma"
"Minas Gerais","João Monlevade"
"Minas Gerais","Augusto de Lima"
"Minas Gerais","Santo Antônio do Monte"
"Minas Gerais","Comendador Gomes"
"Minas Gerais","Cordisburgo"
"Minas Gerais","Passos"
"Minas Gerais","Araponga"
"Minas Gerais","Aracitaba"
"Minas Gerais","Porto Firme"
"Minas Gerais","Campo Azul"
"Minas Gerais","Marliéria"
"Minas Gerais","Liberdade"
"Minas Gerais","Tumiritinga"
"Minas Gerais","Lassance"
"Minas Gerais","São Domingos das Dores"
"Minas Gerais","Ervália"
"Minas Gerais","Espírito Santo do Dourado"
"Minas Gerais","Rio Doce"
"Minas Gerais","Santa Cruz de Salinas"
"Minas Gerais","Campo Belo"
"Minas Gerais","Rio Pomba"
"Minas Gerais","Itabirito"
"Minas Gerais","Inimutaba"
"Minas Gerais","Dores de Guanhães"
"Minas Gerais","Volta Grande"
"Minas Gerais","São Brás do Suaçuí"
"Minas Gerais","Douradoquara"
"Minas Gerais","Santo Antônio do Grama"
"Minas Gerais","José Raydan"
"Minas Gerais","Perdizes"
"Minas Gerais","Paraopeba"
"Minas Gerais","Pedro Teixeira"
"Minas Gerais","Materlândia"
"Minas Gerais","Claraval"
"Minas Gerais","Pintópolis"
"Minas Gerais","Paracatu"
"Minas Gerais","Mariana"
"Minas Gerais","Uruana de Minas"
"Minas Gerais","Canápolis"
"Minas Gerais","Campo Florido"
"Minas Gerais","Ipaba"
"Minas Gerais","Santo Antônio do Rio Abaixo"
"Minas Gerais","Baependi"
"Minas Gerais","Maripá de Minas"
"Minas Gerais","Araçaí"
"Minas Gerais","Coluna"
"Minas Gerais","Coração de Jesus"
"Minas Gerais","Arantina"
"Minas Gerais","Estrela Dalva"
"Minas Gerais","Rio Novo"
"Minas Gerais","João Pinheiro"
"Minas Gerais","Luminárias"
"Minas Gerais","Juiz de Fora"
"Minas Gerais","Ipuiúna"
"Minas Gerais","Sobrália"
"Minas Gerais","Ubá"
"Minas Gerais","Areado"
"Minas Gerais","Toledo"
"Minas Gerais","Serro"
"Minas Gerais","Leme do Prado"
"Minas Gerais","Ataléia"
"Minas Gerais","Poté"
"Minas Gerais","Pompéu"
"Minas Gerais","Contagem"
"Minas Gerais","Pedrinópolis"
"Minas Gerais","Conquista"
"Minas Gerais","Capinópolis"
"Minas Gerais","Santa Maria de Itabira"
"Minas Gerais","Brumadinho"
"Minas Gerais","Buritizeiro"
"Minas Gerais","São José do Jacuri"
"Minas Gerais","São Pedro da União"
"Minas Gerais","Governador Valadares"
"Minas Gerais","Couto de Magalhães de Minas"
"Minas Gerais","Muzambinho"
"Minas Gerais","Galiléia"
"Minas Gerais","Santa Cruz de Minas"
"Minas Gerais","Nova Era"
"Minas Gerais","Cruzeiro da Fortaleza"
"Minas Gerais","Santana do Deserto"
"Minas Gerais","Monte Belo"
"Minas Gerais","Candeias"
"Minas Gerais","São Sebastião do Rio Preto"
"Minas Gerais","Monte Sião"
"Minas Gerais","União de Minas"
"Minas Gerais","Bocaina de Minas"
"Minas Gerais","Cedro do Abaeté"
"Minas Gerais","Aguanil"
"Minas Gerais","Viçosa"
"Minas Gerais","Jesuânia"
"Minas Gerais","Grupiara"
"Minas Gerais","Japonvar"
"Minas Gerais","Cantagalo"
"Minas Gerais","Cascalho Rico"
"Minas Gerais","Pingo-d'Água"
"Minas Gerais","Ibiraci"
"Minas Gerais","Biquinhas"
"Minas Gerais","Montezuma"
"Minas Gerais","Rochedo de Minas"
"Minas Gerais","Rubim"
"Minas Gerais","Bom Jesus da Penha"
"Minas Gerais","Jequeri"
"Minas Gerais","Itambacuri"
"Minas Gerais","Itaipé"
"Minas Gerais","São José do Divino"
"Minas Gerais","Glaucilândia"
"Minas Gerais","Gurinhatã"
"Minas Gerais","Dom Bosco"
"Minas Gerais","São Sebastião da Bela Vista"
"Minas Gerais","Planura"
"Minas Gerais","Bugre"
"Minas Gerais","Abaeté"
"Minas Gerais","Pirapora"
"Minas Gerais","Sabinópolis"
"Minas Gerais","Morro da Garça"
"Minas Gerais","Capela Nova"
"Minas Gerais","Itamogi"
"Minas Gerais","Virgolândia"
"Minas Gerais","Taiobeiras"
"Minas Gerais","Raposos"
"Minas Gerais","Caiana"
"Minas Gerais","Alto Jequitibá"
"Minas Gerais","Córrego do Bom Jesus"
"Minas Gerais","Papagaios"
"Minas Gerais","Alvinópolis"
"Minas Gerais","Cambuquira"
"Minas Gerais","São Sebastião do Anta"
"Minas Gerais","Mesquita"
"Minas Gerais","Medeiros"
"Minas Gerais","Divisa Nova"
"Minas Gerais","Teófilo Otoni"
"Minas Gerais","Felisburgo"
"Minas Gerais","Mantena"
"Minas Gerais","Luislândia"
"Minas Gerais","Pedra Bonita"
"Minas Gerais","Conceição do Mato Dentro"
"Minas Gerais","Padre Paraíso"
"Minas Gerais","Palma"
"Minas Gerais","São Félix de Minas"
"Minas Gerais","Riachinho"
"Minas Gerais","Machado"
"Minas Gerais","Ewbank da Câmara"
"Minas Gerais","Barra Longa"
"Minas Gerais","Coromandel"
"Minas Gerais","Divisópolis"
"Minas Gerais","Lambari"
"Minas Gerais","Senhora dos Remédios"
"Minas Gerais","Serra da Saudade"
"Minas Gerais","Conceição da Aparecida"
"Minas Gerais","Congonhal"
"Minas Gerais","Bambuí"
"Minas Gerais","Presidente Kubitschek"
